timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019719.428,-24.414,26.855,46.875,-12.695,41.016
1587019719.432,-49.316,25.879,46.387,-44.922,-10.254
1587019719.436,7.812,24.414,46.387,-3.906,17.090
1587019719.440,43.457,26.367,45.898,38.086,28.809
1587019719.444,-6.348,28.320,43.457,6.348,-18.066
1587019719.447,-53.711,28.809,43.457,-34.668,-1.953
1587019719.451,-14.648,28.320,42.969,-8.789,46.875
1587019719.455,49.805,31.738,43.945,45.898,31.250
1587019719.459,33.203,44.434,57.129,41.016,56.641
1587019719.463,-21.973,48.828,66.895,-2.930,62.988
1587019719.467,-13.184,37.109,55.664,-1.465,26.367
1587019719.471,26.367,19.531,34.668,28.809,31.250
1587019719.475,12.695,18.555,33.203,16.602,15.625
1587019719.479,-50.293,34.180,53.223,-39.551,17.090
1587019719.483,-80.566,39.551,57.129,-69.336,-6.348
1587019719.487,-49.316,39.551,45.898,-46.875,14.648
1587019719.490,-48.828,45.410,47.852,-46.387,66.406
1587019719.494,-126.953,50.293,54.688,-111.816,65.430
1587019719.498,-175.781,54.688,57.129,-161.621,63.477
1587019719.502,-154.785,55.176,57.129,-157.227,9.766
1587019719.506,-144.531,51.758,60.547,-145.996,3.906
1587019719.510,-202.148,54.688,68.848,-180.664,33.691
1587019719.514,-243.652,58.105,70.801,-227.539,29.297
1587019719.518,-204.590,54.688,72.266,-203.125,6.348
1587019719.522,-143.555,45.898,73.730,-142.090,10.254
1587019719.526,-144.043,42.480,70.801,-134.766,41.016
1587019719.530,-182.129,42.969,68.359,-163.574,54.199
1587019719.533,-149.902,40.039,62.988,-145.996,55.664
1587019719.537,-61.523,36.133,53.223,-68.359,55.176
1587019719.541,-31.250,35.156,52.246,-25.391,99.609
1587019719.545,-70.801,38.574,48.828,-54.688,89.355
1587019719.549,-76.660,33.691,42.480,-58.105,48.340
1587019719.553,2.930,26.367,38.574,5.859,50.781
1587019719.557,61.523,25.879,33.203,59.082,50.781
1587019719.561,25.391,24.902,32.715,37.598,10.742
1587019719.565,4.883,24.902,29.785,16.602,-23.926
1587019719.569,65.918,22.949,26.367,66.406,-28.320
1587019719.572,128.418,20.020,21.973,121.094,-4.883
1587019719.576,107.422,20.508,18.555,107.422,23.926
1587019719.580,64.941,20.020,22.461,75.195,24.414
1587019719.584,96.680,15.137,21.484,100.586,96.191
1587019719.588,161.133,13.184,21.484,159.668,115.723
1587019719.592,153.809,15.625,20.508,153.320,33.691
1587019719.596,99.121,17.578,19.043,101.562,-0.977
1587019719.600,103.516,20.020,20.020,104.492,15.625
1587019719.604,158.691,17.090,14.160,153.809,30.273
1587019719.608,167.480,18.066,12.695,168.457,29.297
1587019719.612,112.793,22.949,17.578,121.582,56.152
1587019719.615,88.379,21.484,18.555,95.703,88.867
1587019719.619,146.484,22.949,16.113,141.113,13.184
1587019719.623,187.012,28.809,17.090,180.176,-21.484
1587019719.627,138.672,31.738,20.996,140.137,11.719
1587019719.631,89.844,30.762,20.020,93.262,-32.227
1587019719.635,127.930,33.203,18.066,119.629,-15.137
1587019719.639,174.316,28.320,15.625,162.109,58.594
1587019719.643,141.602,23.438,18.066,137.207,39.551
1587019719.647,83.496,25.879,20.508,86.426,24.902
1587019719.651,97.656,25.391,20.020,92.285,-5.371
1587019719.655,166.016,22.949,18.555,141.602,15.625
1587019719.658,154.297,21.973,20.996,142.090,27.832
1587019719.662,87.402,26.855,25.879,88.867,6.348
1587019719.666,84.473,30.762,27.832,77.637,26.367
1587019719.670,137.695,25.391,24.902,124.512,45.410
1587019719.674,153.809,24.902,24.902,143.066,27.832
1587019719.678,94.238,29.297,30.762,94.727,0.000
1587019719.682,58.105,31.250,30.273,63.965,6.348
1587019719.686,107.422,30.762,28.320,102.051,28.320
1587019719.690,139.648,32.227,30.762,140.625,105.957
1587019719.694,93.262,32.227,33.691,102.051,56.152
1587019719.697,46.387,28.320,34.668,57.129,-21.484
1587019719.701,77.148,25.391,32.227,81.543,3.418
1587019719.705,133.301,24.902,32.227,129.395,30.273
1587019719.709,102.539,25.879,35.156,109.863,54.688
1587019719.713,38.574,25.391,33.203,53.711,23.926
1587019719.717,55.176,25.391,32.715,60.059,30.762
1587019719.721,111.816,23.438,29.785,108.887,1.465
1587019719.725,106.445,24.902,26.367,109.863,8.789
1587019719.729,44.434,29.297,31.250,57.129,53.711
1587019719.733,33.691,30.762,30.762,35.645,5.371
1587019719.737,92.285,29.297,26.855,79.590,-1.953
1587019719.740,108.887,30.762,25.879,105.469,44.434
